Time,VIB57,VIB58,VIB59
08:15:44:236,0.2976,0.8002,1.4982
08:15:44:240,0.3244,0.791,1.5022
08:15:44:244,0.304,0.8166,1.477
08:15:44:248,0.3012,0.8074,1.5066
08:15:44:251,0.3296,0.7946,1.5098
08:15:44:255,0.3364,0.7934,1.4794
08:15:44:259,0.3044,0.8002,1.5046
08:15:44:263,0.3168,0.7918,1.4866
08:15:44:267,0.3344,0.7846,1.4886
08:15:44:271,0.3228,0.7762,1.4858
08:15:44:275,0.2976,0.779,1.5326
08:15:44:279,0.3036,0.7774,1.4954
08:15:44:283,0.3236,0.7738,1.5058
08:15:44:287,0.33,0.7722,1.4914
08:15:44:291,0.3396,0.771,1.4914
08:15:44:294,0.3348,0.777,1.4642
08:15:44:298,0.3204,0.7854,1.4886
08:15:44:302,0.3232,0.7702,1.481
08:15:44:306,0.332,0.769,1.4818
08:15:44:310,0.3324,0.7534,1.4754
08:15:44:314,0.3196,0.7602,1.4714
08:15:44:318,0.3072,0.7438,1.467
08:15:44:322,0.3384,0.7542,1.4526
08:15:44:326,0.33,0.7502,1.4538
08:15:44:330,0.3112,0.7474,1.4662
08:15:44:333,0.328,0.7478,1.4946
08:15:44:337,0.3508,0.7334,1.4858
08:15:44:341,0.3104,0.7458,1.5046
08:15:44:345,0.3108,0.7558,1.4994
08:15:44:349,0.324,0.7714,1.497
08:15:44:353,0.3116,0.7766,1.4882
08:15:44:357,0.3252,0.7774,1.4978
08:15:44:361,0.3236,0.7762,1.5158
08:15:44:365,0.3204,0.769,1.4994
08:15:44:369,0.3292,0.7702,1.4886
08:15:44:373,0.3288,0.7574,1.4594
08:15:44:376,0.3148,0.7722,1.4746
08:15:44:380,0.3296,0.7642,1.4926
08:15:44:384,0.3056,0.7818,1.525
08:15:44:388,0.3276,0.7734,1.5322
08:15:44:392,0.3508,0.7826,1.5282
08:15:44:396,0.344,0.7766,1.497
08:15:44:400,0.3268,0.7786,1.503
08:15:44:404,0.3012,0.7762,1.4886
08:15:44:408,0.3196,0.7542,1.5114
08:15:44:412,0.3212,0.7642,1.5106
08:15:44:416,0.3352,0.753,1.5046
08:15:44:419,0.3428,0.7646,1.5126
08:15:44:423,0.3048,0.7674,1.5342
08:15:44:427,0.2944,0.7506,1.5554
08:15:44:431,0.3292,0.7298,1.527
08:15:44:435,0.3196,0.745,1.5738
08:15:44:439,0.31,0.7358,1.5606
08:15:44:443,0.3512,0.749,1.5374
08:15:44:447,0.3368,0.719,1.5266
08:15:44:451,0.3124,0.747,1.517
08:15:44:455,0.3372,0.7266,1.515
08:15:44:458,0.3164,0.7406,1.5102
08:15:44:462,0.3168,0.7394,1.5222
08:15:44:466,0.3264,0.7518,1.5174
08:15:44:470,0.3416,0.749,1.4914
08:15:44:474,0.3428,0.7562,1.5346
08:15:44:478,0.3224,0.7406,1.533
08:15:44:482,0.298,0.759,1.5458
08:15:44:486,0.3404,0.731,1.5226
08:15:44:490,0.346,0.7534,1.4998
08:15:44:494,0.3244,0.7538,1.513
08:15:44:498,0.3284,0.7546,1.5186
08:15:44:501,0.3312,0.7578,1.4978
08:15:44:505,0.3176,0.7634,1.515
08:15:44:509,0.3264,0.7782,1.5198
08:15:44:513,0.3528,0.7626,1.489
08:15:44:517,0.322,0.775,1.4922
08:15:44:521,0.3152,0.7714,1.529
08:15:44:525,0.3064,0.777,1.5206
08:15:44:529,0.32,0.7622,1.5322
08:15:44:533,0.326,0.7482,1.5478
08:15:44:537,0.3328,0.7618,1.5282
08:15:44:541,0.3124,0.7654,1.5446
08:15:44:544,0.3048,0.7818,1.545
08:15:44:548,0.3376,0.7862,1.4806
08:15:44:552,0.3244,0.8018,1.5182
08:15:44:556,0.3004,0.8018,1.5122
08:15:44:560,0.3408,0.7982,1.5098
08:15:44:564,0.3308,0.771,1.5018
08:15:44:568,0.3468,0.7682,1.5006
08:15:44:572,0.3272,0.7722,1.489
08:15:44:576,0.3216,0.7562,1.5062
08:15:44:580,0.3276,0.773,1.5106
08:15:44:583,0.3432,0.755,1.5154
08:15:44:587,0.32,0.777,1.5374
08:15:44:591,0.3112,0.749,1.5406
08:15:44:595,0.3428,0.7322,1.5114
08:15:44:599,0.3204,0.7206,1.4866
08:15:44:603,0.314,0.7378,1.4942
08:15:44:607,0.3148,0.7462,1.4614
08:15:44:611,0.334,0.7414,1.4874
08:15:44:615,0.3448,0.755,1.495
08:15:44:619,0.3384,0.7434,1.5422
08:15:44:623,0.3332,0.7422,1.5406
08:15:44:626,0.3544,0.7286,1.5474
08:15:44:630,0.3212,0.7354,1.5374
08:15:44:634,0.3092,0.7314,1.5154
08:15:44:638,0.3472,0.7234,1.5174
08:15:44:642,0.316,0.6998,1.5194
08:15:44:646,0.3196,0.699,1.5422
08:15:44:650,0.328,0.7094,1.5034
08:15:44:654,0.3252,0.7098,1.5174
08:15:44:658,0.3328,0.7366,1.4906
08:15:44:662,0.3324,0.7566,1.5042
08:15:44:666,0.3312,0.7682,1.5514
08:15:44:669,0.3344,0.755,1.6034
08:15:44:673,0.3488,0.751,1.5842
08:15:44:677,0.3268,0.7406,1.5882
08:15:44:681,0.3332,0.7466,1.553
08:15:44:685,0.3232,0.7422,1.5102
08:15:44:689,0.3432,0.7354,1.5154
08:15:44:693,0.3292,0.745,1.5098
08:15:44:697,0.3104,0.7294,1.5374
08:15:44:701,0.322,0.7314,1.519
08:15:44:705,0.326,0.7254,1.5374
08:15:44:708,0.3508,0.733,1.533
08:15:44:712,0.3248,0.7306,1.5894
08:15:44:716,0.3184,0.7318,1.5738
08:15:44:720,0.3284,0.7402,1.569
08:15:44:724,0.3264,0.7534,1.5634
08:15:44:728,0.3372,0.7478,1.5714
08:15:44:732,0.3272,0.7566,1.5286
08:15:44:736,0.3184,0.7546,1.5222
08:15:44:740,0.3196,0.7614,1.5182
08:15:44:744,0.3168,0.7402,1.5554
08:15:44:748,0.3436,0.729,1.5462
08:15:44:751,0.3456,0.7298,1.5566
08:15:44:755,0.3408,0.711,1.541
08:15:44:759,0.3388,0.711,1.503
08:15:44:763,0.3332,0.713,1.4926
08:15:44:767,0.3184,0.727,1.5102
08:15:44:771,0.3092,0.7318,1.5198
08:15:44:775,0.3476,0.7226,1.5166
08:15:44:779,0.3324,0.7458,1.4958
08:15:44:783,0.3424,0.7638,1.5226
08:15:44:787,0.3128,0.7678,1.5294
08:15:44:791,0.3284,0.7542,1.497
08:15:44:794,0.3128,0.7642,1.5166
08:15:44:798,0.3204,0.7702,1.4962
08:15:44:802,0.3548,0.7422,1.5146
08:15:44:806,0.3324,0.7538,1.5046
08:15:44:810,0.3392,0.7646,1.5098
08:15:44:814,0.3296,0.7814,1.5186
08:15:44:818,0.332,0.7426,1.5418
