Time,VIB57,VIB58,VIB59
13:50:10:386,0.424,0.7574,1.5238
13:50:10:390,0.4188,0.7562,1.521
13:50:10:394,0.418,0.7586,1.5194
13:50:10:398,0.4172,0.757,1.523
13:50:10:402,0.4212,0.761,1.5206
13:50:10:406,0.4184,0.7582,1.5202
13:50:10:410,0.4188,0.7578,1.521
13:50:10:414,0.4208,0.7558,1.5214
13:50:10:417,0.4208,0.753,1.5234
13:50:10:421,0.4168,0.7522,1.5242
13:50:10:425,0.42,0.7518,1.5242
13:50:10:429,0.4212,0.7494,1.5238
13:50:10:433,0.4184,0.7506,1.5242
13:50:10:437,0.4176,0.749,1.5238
13:50:10:441,0.4208,0.749,1.5262
13:50:10:445,0.4192,0.749,1.5238
13:50:10:449,0.4208,0.7474,1.5238
13:50:10:453,0.4208,0.7466,1.5266
13:50:10:457,0.4212,0.7482,1.5238
13:50:10:460,0.418,0.7486,1.5246
13:50:10:464,0.4208,0.749,1.5222
13:50:10:468,0.4192,0.7486,1.5238
13:50:10:472,0.4196,0.749,1.5282
13:50:10:476,0.4204,0.7482,1.527
13:50:10:480,0.42,0.7522,1.5254
13:50:10:484,0.4176,0.7506,1.5258
13:50:10:488,0.4188,0.7534,1.527
13:50:10:492,0.4204,0.7522,1.5238
13:50:10:496,0.4192,0.7518,1.525
13:50:10:500,0.4204,0.749,1.5266
13:50:10:503,0.4216,0.7546,1.5278
13:50:10:507,0.4204,0.7542,1.5302
13:50:10:511,0.4192,0.7538,1.5282
13:50:10:515,0.418,0.7506,1.5306
13:50:10:519,0.4204,0.7558,1.533
13:50:10:523,0.4196,0.755,1.5286
13:50:10:527,0.4212,0.7582,1.535
13:50:10:531,0.4196,0.7546,1.5326
13:50:10:535,0.418,0.7566,1.5258
13:50:10:539,0.4224,0.7574,1.5282
13:50:10:542,0.4212,0.7574,1.529
13:50:10:546,0.4208,0.7582,1.5318
13:50:10:550,0.418,0.7586,1.5274
13:50:10:554,0.4216,0.7574,1.5318
13:50:10:558,0.4152,0.7542,1.5306
13:50:10:562,0.422,0.757,1.5314
13:50:10:566,0.42,0.7574,1.531
13:50:10:570,0.4184,0.7546,1.5326
13:50:10:574,0.4212,0.7562,1.5322
13:50:10:578,0.4168,0.7526,1.531
13:50:10:582,0.4192,0.7526,1.5278
13:50:10:585,0.4184,0.7546,1.531
13:50:10:589,0.4204,0.7502,1.531
13:50:10:593,0.422,0.751,1.527
13:50:10:597,0.4192,0.7506,1.5278
13:50:10:601,0.42,0.7514,1.533
13:50:10:605,0.422,0.7502,1.531
13:50:10:609,0.4224,0.7522,1.5266
13:50:10:613,0.4172,0.7526,1.5258
13:50:10:617,0.418,0.7522,1.5322
13:50:10:621,0.4212,0.749,1.5302
13:50:10:625,0.4248,0.7502,1.5298
13:50:10:628,0.4192,0.751,1.5266
13:50:10:632,0.4188,0.7538,1.5342
13:50:10:636,0.4212,0.753,1.5294
13:50:10:640,0.42,0.7522,1.533
13:50:10:644,0.4168,0.755,1.5346
13:50:10:648,0.4192,0.7522,1.537
13:50:10:652,0.4188,0.7526,1.5354
13:50:10:656,0.4184,0.7502,1.535
13:50:10:660,0.4172,0.7526,1.533
13:50:10:664,0.4204,0.7502,1.5346
13:50:10:667,0.4244,0.755,1.5342
13:50:10:671,0.4184,0.7554,1.5358
13:50:10:675,0.4188,0.753,1.5374
13:50:10:679,0.4228,0.7542,1.5354
13:50:10:683,0.4236,0.7538,1.5402
13:50:10:687,0.4184,0.7526,1.5366
13:50:10:691,0.4212,0.7546,1.5382
13:50:10:695,0.418,0.7554,1.5398
13:50:10:699,0.4212,0.7558,1.5346
13:50:10:703,0.4184,0.7558,1.5378
13:50:10:707,0.422,0.7586,1.5358
13:50:10:710,0.422,0.7566,1.5378
13:50:10:714,0.4172,0.7582,1.5342
13:50:10:718,0.4164,0.7546,1.537
13:50:10:722,0.4196,0.7546,1.5346
13:50:10:726,0.4188,0.7578,1.5322
13:50:10:730,0.4196,0.7546,1.5342
13:50:10:734,0.4172,0.7558,1.5362
